,Model,Historical data,Forecast,Mean Residual,Test MAPE (Biased),Test MAPE (Unbiased),MAPE zero residuals val,ranking
0,Naive,2,5,-0.31833332036834916,0.018160061598114154,0.019069364498130847,0.018473363549670364,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_d'],
      dtype='object')]"
1,Linear regression,2,5,-1.6045262431706837e-14,0.02995086267935664,0.029950862679356552,0.033957844593252504,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_d'],
      dtype='object')]"
2,Lasso REgularization,2,5,-1.3932210505100003e-16,0.019069364498130847,0.019069364498130847,0.018473363549670364,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_d'],
      dtype='object')]"
3,Ridge Regularization,2,5,3.2508491178566673e-16,0.023906440090159256,0.023906440090159256,0.026060369565158836,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_d'],
      dtype='object')]"
4,Random Forest Regresssor,2,5,-0.013995363992919176,0.01918442303367812,0.019138247395211083,0.01908234649769943,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_d'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,5,0.09479104980668575,0.01871870296016522,0.019004576131172884,0.01841401551396519,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_d'],
      dtype='object')]"
6,"SVR, kernel = linear",2,5,0.08250425946864941,0.023406818049151002,0.023860393016486806,0.025145933656138205,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_d'],
      dtype='object')]"
0,Naive,2,15,-0.9198661727650109,0.03914868452593909,0.04200174597227322,0.0380980927706753,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
1,Linear regression,2,15,8.412445767862056e-14,0.08337136000255788,0.08337136000255843,0.09759818429574581,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
2,Lasso REgularization,2,15,-1.901117687652442e-16,0.04200174597227322,0.04200174597227322,0.0380980927706753,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
3,Ridge Regularization,2,15,2.6615647627134186e-15,0.06527782951754119,0.06527782951754119,0.07331204378213577,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
4,Random Forest Regresssor,2,15,-0.03765375829575859,0.03275517461742869,0.03265800861461314,0.0328097249232299,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,15,-0.3995612551344243,0.04322626435805221,0.041811416196624075,0.03799092777846431,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
6,"SVR, kernel = linear",2,15,-0.3789888054100639,0.05024289964418993,0.04810847787755094,0.05012374379201747,"[Index(['month', '30_rolling_mean', '60_rolling_mean', '7_rolling_STD',
       'timedelta', 'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
0,Naive,2,30,-1.8834601537579072,0.0523531682569444,0.0611408791258578,0.05722257395448124,"[Index(['month', 'end_of_month', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd_signal', 'macd_hist'],
      dtype='object')]"
1,Linear regression,2,30,3.206047499761836e-14,0.13526858206771697,0.13526858206771716,0.1635774730897981,"[Index(['month', 'end_of_month', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd_signal', 'macd_hist'],
      dtype='object')]"
2,Lasso REgularization,2,30,-3.933800613204707e-16,0.0611408791258578,0.0611408791258578,0.05722257395448124,"[Index(['month', 'end_of_month', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd_signal', 'macd_hist'],
      dtype='object')]"
3,Ridge Regularization,2,30,5.113940797166119e-15,0.10230465810141125,0.10230465810141125,0.11961002174666198,"[Index(['month', 'end_of_month', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd_signal', 'macd_hist'],
      dtype='object')]"
4,Random Forest Regresssor,2,30,0.01225109182068141,0.06505584474055578,0.06514850718373968,0.06188518832737985,"[Index(['month', 'end_of_month', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd_signal', 'macd_hist'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,30,-0.08864459856148123,0.06117635618979981,0.060715599824893704,0.05686258713252707,"[Index(['month', 'end_of_month', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd_signal', 'macd_hist'],
      dtype='object')]"
6,"SVR, kernel = linear",2,30,0.16597805359952392,0.07308594990538418,0.07426580763849676,0.08271004232088092,"[Index(['month', 'end_of_month', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd_signal', 'macd_hist'],
      dtype='object')]"
0,Naive,2,60,-2.9223507269104916,0.0544897784828843,0.07020767439361608,0.07492301959577552,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'RSI', 'upper_band'], dtype='object')]"
1,Linear regression,2,60,-5.005614496698019e-14,0.07866749010448952,0.07866749010448928,0.08809723367422391,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'RSI', 'upper_band'], dtype='object')]"
2,Lasso REgularization,2,60,-4.242046183642389e-16,0.06719833310019357,0.06719833310019357,0.07307268372104346,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'RSI', 'upper_band'], dtype='object')]"
3,Ridge Regularization,2,60,-4.242046183642389e-16,0.07423599430652883,0.07423599430652883,0.08336304063508898,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'RSI', 'upper_band'], dtype='object')]"
4,Random Forest Regresssor,2,60,0.02886502254663058,0.09270876325302761,0.09283495072918622,0.10053929505284447,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'RSI', 'upper_band'], dtype='object')]"
5,"SVR, kernel = rbf",2,60,-0.1573827385095881,0.09910749421994106,0.09779371102027058,0.10903238103635103,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'RSI', 'upper_band'], dtype='object')]"
6,"SVR, kernel = linear",2,60,-1.868459654802467,0.08787770206676158,0.07463287998348991,0.08453733468475036,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'RSI', 'upper_band'], dtype='object')]"
0,Naive,5,5,0.30491019608731756,0.0214384868994285,0.02147260585537893,0.01751582537764809,"[Index(['Adj Close', 'month', '7_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'RSI',
       'upper_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
1,Linear regression,5,5,-1.804012694384925e-15,0.023415458115840847,0.023415458115840847,0.017837247988458847,"[Index(['Adj Close', 'month', '7_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'RSI',
       'upper_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
2,Lasso REgularization,5,5,-3.40379753657533e-17,0.021626669176618443,0.021626669176618443,0.017695892028342538,"[Index(['Adj Close', 'month', '7_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'RSI',
       'upper_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
3,Ridge Regularization,5,5,-5.531170996934912e-16,0.023170242642339533,0.023170242642339533,0.01777362778947443,"[Index(['Adj Close', 'month', '7_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'RSI',
       'upper_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
4,Random Forest Regresssor,5,5,3.999462105476013e-16,0.0230494395650464,0.0230494395650464,0.01979123133493308,"[Index(['Adj Close', 'month', '7_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'RSI',
       'upper_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
5,"SVR, kernel = rbf",5,5,0.0790902648571466,0.021538722362671778,0.021486683963631723,0.017504873827939305,"[Index(['Adj Close', 'month', '7_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'RSI',
       'upper_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
6,"SVR, kernel = linear",5,5,0.18499083763377336,0.022941299016244747,0.02268522951001742,0.01779394856807734,"[Index(['Adj Close', 'month', '7_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'RSI',
       'upper_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
0,Naive,5,15,0.9282729660255321,0.040665659879301146,0.04161962041091443,0.03593863551693484,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'macd_signal'],
      dtype='object')]"
1,Linear regression,5,15,1.2700522330011452e-15,0.04076674842460635,0.04076674842460635,0.0341413062174722,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'macd_signal'],
      dtype='object')]"
2,Lasso REgularization,5,15,3.432573602705798e-17,0.041438238114216416,0.041438238114216416,0.03593108986846184,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'macd_signal'],
      dtype='object')]"
3,Ridge Regularization,5,15,1.0984235528658553e-15,0.0402668357183045,0.0402668357183045,0.03404053145526689,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'macd_signal'],
      dtype='object')]"
4,Random Forest Regresssor,5,15,0.0008621065248283666,0.04598760435878849,0.045985011228580175,0.031059766484120337,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'macd_signal'],
      dtype='object')]"
5,"SVR, kernel = rbf",5,15,0.054743140810242924,0.042072498220222763,0.041985963361157994,0.036731895280395555,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'macd_signal'],
      dtype='object')]"
6,"SVR, kernel = linear",5,15,0.15426879060916515,0.04186650998310048,0.04158113028762185,0.03612156629969502,"[Index(['month', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'macd_signal'],
      dtype='object')]"
0,Naive,5,30,1.806833784854208,0.056898298572201564,0.0576949205440225,0.04387232498875583,"[Index(['Open', 'High', 'Low', 'Close', 'month', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'timedelta',
       'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
1,Linear regression,5,30,1.2279012362719774e-13,0.05579140872001289,0.05579140872001276,0.04588037073163307,"[Index(['Open', 'High', 'Low', 'Close', 'month', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'timedelta',
       'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
2,Lasso REgularization,5,30,-3.474536605183864e-17,0.056791558713379243,0.056791558713379243,0.043785736406699506,"[Index(['Open', 'High', 'Low', 'Close', 'month', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'timedelta',
       'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
3,Ridge Regularization,5,30,7.6439805314045005e-16,0.05604136847581044,0.05604136847581044,0.04700749034888128,"[Index(['Open', 'High', 'Low', 'Close', 'month', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'timedelta',
       'upper_band', 'lower_band', 'macd', 'macd_signal'],
      dtype='object')]"
