,Model,Historical data,Forecast,Mean Residual,Test MAPE (Biased),Test MAPE (Unbiased),MAPE zero residuals val,ranking
0,Naive,2,5,-0.0833333582659952,0.01510468666739955,0.015459302885557104,0.015875045716315688,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'month', 'H-L',
       'C-O', '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
1,Linear regression,2,5,1.0936785246503503e-14,0.04401136835731992,0.04401136835732006,0.04977469063101054,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'month', 'H-L',
       'C-O', '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
2,Lasso REgularization,2,5,-2.322035084183334e-17,0.015459302885557104,0.015459302885557104,0.015875045716315688,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'month', 'H-L',
       'C-O', '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
3,Ridge Regularization,2,5,-8.127122794641668e-17,0.02696708778954055,0.02696708778954055,0.03147546688051112,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'month', 'H-L',
       'C-O', '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
4,Random Forest Regresssor,2,5,-0.00540250820780996,0.021243593782735413,0.021201489054055445,0.023008475162630816,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'month', 'H-L',
       'C-O', '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,5,0.07768933621918361,0.015127716392895686,0.015459608448144245,0.01587533262379724,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'month', 'H-L',
       'C-O', '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
6,"SVR, kernel = linear",2,5,0.1204610336514924,0.022805732334019835,0.02363392007115326,0.026697420511656404,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'month', 'H-L',
       'C-O', '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
0,Naive,2,15,-0.18632104165577967,0.02922380061807108,0.03042929721272144,0.03329196742980872,"[Index(['Low', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
1,Linear regression,2,15,1.794179817721992e-14,0.06923930138251787,0.06923930138251798,0.08107078498337698,"[Index(['Low', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
2,Lasso REgularization,2,15,-1.1881985547827762e-16,0.03042929721272144,0.03042929721272144,0.03329196742980872,"[Index(['Low', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
3,Ridge Regularization,2,15,0.0,0.049389872052421194,0.049389872052421194,0.06023281011488775,"[Index(['Low', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
4,Random Forest Regresssor,2,15,-0.023769785747633592,0.03418960853998497,0.03399839531710575,0.03711642555075352,"[Index(['Low', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,15,0.07617820197484497,0.030038115705543954,0.030540587453169375,0.033376716258873014,"[Index(['Low', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
6,"SVR, kernel = linear",2,15,-0.002936729502643612,0.04848521696961683,0.048466035436867616,0.05945407522752222,"[Index(['Low', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
0,Naive,2,30,-0.23788929975569043,0.04360644861110894,0.044935593344372124,0.04887279412675572,"[Index(['High', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
1,Linear regression,2,30,1.6177755021804356e-14,0.08677197693642025,0.08677197693642037,0.101186534549459,"[Index(['High', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
2,Lasso REgularization,2,30,9.834501533011768e-17,0.04540343173538433,0.04540343173538433,0.04947831171761367,"[Index(['High', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
3,Ridge Regularization,2,30,1.7210377682770593e-16,0.07195031289302742,0.07195031289302742,0.08502972201051168,"[Index(['High', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
4,Random Forest Regresssor,2,30,2.704487921578236e-16,0.06553472725281619,0.06553472725281619,0.07342339481141473,"[Index(['High', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,30,-0.07845493081165862,0.045732175681949185,0.04523649518332201,0.049125106119610094,"[Index(['High', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
6,"SVR, kernel = linear",2,30,0.08024767213443094,0.06985224050820323,0.0702869297395983,0.0831654108322607,"[Index(['High', 'Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
0,Naive,2,60,-0.4195523333193651,0.059532867532787005,0.06330487237121214,0.06964901342250783,"[Index(['High', 'Low', 'Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
1,Linear regression,2,60,-2.741422346178894e-14,0.07377065057332328,0.07377065057332313,0.08385923722024906,"[Index(['High', 'Low', 'Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
2,Lasso REgularization,2,60,1.0605115459105973e-16,0.06289516036163048,0.06289516036163048,0.07052542556832538,"[Index(['High', 'Low', 'Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
3,Ridge Regularization,2,60,-2.1210230918211945e-16,0.06953071419507142,0.06953071419507142,0.07945352068795657,"[Index(['High', 'Low', 'Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
4,Random Forest Regresssor,2,60,-0.013591602262575971,0.07663170834954156,0.07656170835277179,0.08737099151833908,"[Index(['High', 'Low', 'Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,60,0.07904477915840545,0.06228805159742362,0.06299870737444872,0.06961844103656384,"[Index(['High', 'Low', 'Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
6,"SVR, kernel = linear",2,60,0.8532623366568082,0.06299673935401683,0.06820889167410886,0.07750213525384761,"[Index(['High', 'Low', 'Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '21_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
0,Naive,5,5,0.05559282131537706,0.014050438589685686,0.014014431243964872,0.015370034816968579,"[Index(['month', 'upper_band', 'middle_band', 'lower_band', 'macd_signal'], dtype='object')]"
1,Linear regression,5,5,8.509493841438325e-18,0.014577926678466285,0.014577926678466285,0.015298188407609206,"[Index(['month', 'upper_band', 'middle_band', 'lower_band', 'macd_signal'], dtype='object')]"
2,Lasso REgularization,5,5,4.254746920719163e-17,0.014014431243964872,0.014014431243964872,0.015370034816968579,"[Index(['month', 'upper_band', 'middle_band', 'lower_band', 'macd_signal'], dtype='object')]"
3,Ridge Regularization,5,5,4.254746920719163e-17,0.01457826039531898,0.01457826039531898,0.015373015196663273,"[Index(['month', 'upper_band', 'middle_band', 'lower_band', 'macd_signal'], dtype='object')]"
4,Random Forest Regresssor,5,5,-2.510300683224306e-16,0.014168642162116824,0.014168642162116824,0.01593799961271705,"[Index(['month', 'upper_band', 'middle_band', 'lower_band', 'macd_signal'], dtype='object')]"
5,"SVR, kernel = rbf",5,5,0.008337714606310088,0.014015340775282817,0.014020701169483814,0.015333914153552806,"[Index(['month', 'upper_band', 'middle_band', 'lower_band', 'macd_signal'], dtype='object')]"
6,"SVR, kernel = linear",5,5,0.0011850219995700045,0.014447440331436358,0.01444832080452171,0.015242425837255208,"[Index(['month', 'upper_band', 'middle_band', 'lower_band', 'macd_signal'], dtype='object')]"
