,Model,Historical data,Forecast,Mean Residual,Test MAPE (Biased),Test MAPE (Unbiased),MAPE zero residuals val,ranking
0,Naive,2,5,-0.1748366262398514,0.017625965507169737,0.018161063861259447,0.01643383183006021,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
1,Linear regression,2,5,-9.473903143468002e-15,0.02082791242235562,0.020827912422355554,0.020664502902058315,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
2,Lasso REgularization,2,5,-7.546614023595836e-17,0.018161063861259447,0.018161063861259447,0.01643383183006021,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
3,Ridge Regularization,2,5,2.322035084183334e-16,0.02049565375541323,0.02049565375541323,0.020402225585286336,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
4,Random Forest Regresssor,2,5,-1.1842378929335002e-15,0.01961060715783339,0.01961060715783339,0.017703658657918953,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,5,0.154396183998887,0.017699112380157443,0.018169686975897836,0.016460433469383955,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
6,"SVR, kernel = linear",2,5,0.08217158897137108,0.01908242843231074,0.019425714945577953,0.018808852573028206,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'macd'],
      dtype='object')]"
0,Naive,2,15,-0.45431439453941524,0.03572722591792196,0.03765546155869438,0.03476872268178441,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       'macd_hist'],
      dtype='object')]"
1,Linear regression,2,15,-1.4258382657393315e-15,0.04833678698366668,0.04833678698366668,0.05314357704123872,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       'macd_hist'],
      dtype='object')]"
2,Lasso REgularization,2,15,-1.4258382657393315e-16,0.03765546155869438,0.03765546155869438,0.03476872268178441,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       'macd_hist'],
      dtype='object')]"
3,Ridge Regularization,2,15,-1.901117687652442e-16,0.047232231640210266,0.047232231640210266,0.05196429469476304,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       'macd_hist'],
      dtype='object')]"
4,Random Forest Regresssor,2,15,-0.010449966622550134,0.04399641538530259,0.043935424126862264,0.040567001760603454,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       'macd_hist'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,15,0.1290371390240167,0.03563962309993834,0.03616205114900111,0.03455371368703212,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       'macd_hist'],
      dtype='object')]"
6,"SVR, kernel = linear",2,15,0.45841880946382696,0.04460671826020281,0.04644634886365693,0.0516880423539782,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       'macd_hist'],
      dtype='object')]"
0,Naive,2,30,-0.6980968858131488,0.05793408484766536,0.060624697378875575,0.05944395267684156,"[Index(['Low', 'Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
1,Linear regression,2,30,1.0640930658718732e-13,0.10655286348525328,0.10655286348525389,0.10822952748461076,"[Index(['Low', 'Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
2,Lasso REgularization,2,30,3.933800613204707e-16,0.07205106114336204,0.07205106114336204,0.0793398375135196,"[Index(['Low', 'Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
3,Ridge Regularization,2,30,-3.933800613204707e-16,0.08127901365848345,0.08127901365848345,0.08699812539890268,"[Index(['Low', 'Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
4,Random Forest Regresssor,2,30,0.049003455129415965,0.06834860103989208,0.06855560477261202,0.06625336632198206,"[Index(['Low', 'Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,30,-0.7436606128301239,0.0634530784095429,0.06051257555876761,0.059357156500798675,"[Index(['Low', 'Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
6,"SVR, kernel = linear",2,30,0.8878899429843317,0.062039567430073946,0.06515087294611902,0.06822984991609943,"[Index(['Low', 'Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
0,Naive,2,60,-0.6871641927690648,0.04511164155639629,0.04719858640388652,0.04745379631104465,"[Index(['Open', 'Low', 'Close', 'Adj Close', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'lower_band', 'macd',
       'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
1,Linear regression,2,60,-8.802245831057958e-15,0.10853917718772511,0.10853917718772499,0.1171032907294991,"[Index(['Open', 'Low', 'Close', 'Adj Close', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'lower_band', 'macd',
       'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
2,Lasso REgularization,2,60,5.620711193326165e-15,0.061385135284513295,0.061385135284513295,0.06411030448686121,"[Index(['Open', 'Low', 'Close', 'Adj Close', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'lower_band', 'macd',
       'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
