,Model,Historical data,Forecast,Mean Residual,Test MAPE (Biased),Test MAPE (Unbiased),MAPE zero residuals val,ranking
0,Naive,2,5,-0.21816992915533726,0.016903521933406936,0.01857025861090199,0.015858904110420464,"[Index(['Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'RSI',
       'upper_band', 'lower_band', 'macd', 'stochastic_d'],
      dtype='object')]"
1,Linear regression,2,5,2.443941926102959e-14,0.08534819822537491,0.08534819822537533,0.09981389346884802,"[Index(['Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'RSI',
       'upper_band', 'lower_band', 'macd', 'stochastic_d'],
      dtype='object')]"
2,Lasso REgularization,2,5,8.127122794641668e-17,0.01857025861090199,0.01857025861090199,0.015858904110420464,"[Index(['Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'RSI',
       'upper_band', 'lower_band', 'macd', 'stochastic_d'],
      dtype='object')]"
3,Ridge Regularization,2,5,-3.3959763106181257e-16,0.02775369266793181,0.02775369266793181,0.02985879772132399,"[Index(['Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'RSI',
       'upper_band', 'lower_band', 'macd', 'stochastic_d'],
      dtype='object')]"
4,Random Forest Regresssor,2,5,-0.004517647820480796,0.01970824249097396,0.01965997637355725,0.017568636614010407,"[Index(['Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'RSI',
       'upper_band', 'lower_band', 'macd', 'stochastic_d'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,5,0.06695379350166125,0.01791623084742966,0.01844810348246811,0.015778260508790165,"[Index(['Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'RSI',
       'upper_band', 'lower_band', 'macd', 'stochastic_d'],
      dtype='object')]"
6,"SVR, kernel = linear",2,5,0.047353085631542655,0.024948989449958464,0.025761900616345305,0.025059213635852243,"[Index(['Close', 'Adj Close', 'month', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '30_rolling_mean', '60_rolling_mean', 'RSI',
       'upper_band', 'lower_band', 'macd', 'stochastic_d'],
      dtype='object')]"
0,Naive,2,15,-0.6693311072512215,0.03410874871351776,0.04178524165711898,0.033011921667640026,"[Index(['Adj Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
1,Linear regression,2,15,2.031819528678547e-15,0.08203648365977216,0.08203648365977216,0.09374762220015462,"[Index(['Adj Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
2,Lasso REgularization,2,15,1.1881985547827762e-16,0.04178524165711898,0.04178524165711898,0.033011921667640026,"[Index(['Adj Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
3,Ridge Regularization,2,15,2.3763971095655524e-17,0.05666131970030829,0.05666131970030829,0.05978120097116002,"[Index(['Adj Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
4,Random Forest Regresssor,2,15,1.6872419477915423e-15,0.045529097790020484,0.045529097790020484,0.04338928018417399,"[Index(['Adj Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,15,0.10136136602200427,0.038583754296284745,0.039858004597699496,0.03163274769794542,"[Index(['Adj Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
6,"SVR, kernel = linear",2,15,0.0524856902505627,0.05028311775962329,0.051219220016641594,0.050539516931215604,"[Index(['Adj Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'timedelta', 'RSI', 'upper_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
0,Naive,2,30,-1.2699999957761137,0.051172031242253196,0.06708034421217855,0.057366546243965096,"[Index(['Adj Close', 'month', '14_rolling_mean', '30_rolling_mean',
       '60_rolling_mean'],
      dtype='object')]"
1,Linear regression,2,30,2.2619353525927064e-15,0.08935260561059327,0.08935260561059327,0.10167815045857302,"[Index(['Adj Close', 'month', '14_rolling_mean', '30_rolling_mean',
       '60_rolling_mean'],
      dtype='object')]"
2,Lasso REgularization,2,30,1.229312691626471e-16,0.06584037132611809,0.06584037132611809,0.06497358895727678,"[Index(['Adj Close', 'month', '14_rolling_mean', '30_rolling_mean',
       '60_rolling_mean'],
      dtype='object')]"
3,Ridge Regularization,2,30,9.834501533011768e-17,0.07925215876106921,0.07925215876106921,0.08728218497470785,"[Index(['Adj Close', 'month', '14_rolling_mean', '30_rolling_mean',
       '60_rolling_mean'],
      dtype='object')]"
4,Random Forest Regresssor,2,30,-0.013835981482205767,0.0777325902326946,0.0774724985485653,0.08087569607923346,"[Index(['Adj Close', 'month', '14_rolling_mean', '30_rolling_mean',
       '60_rolling_mean'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,30,-0.001087797971280298,0.06939106510882398,0.06937279640890376,0.06096639944973674,"[Index(['Adj Close', 'month', '14_rolling_mean', '30_rolling_mean',
       '60_rolling_mean'],
      dtype='object')]"
6,"SVR, kernel = linear",2,30,-0.03987416241009936,0.0782127455757302,0.07747983886969403,0.08243476520841204,"[Index(['Adj Close', 'month', '14_rolling_mean', '30_rolling_mean',
       '60_rolling_mean'],
      dtype='object')]"
0,Naive,2,60,-2.2650373373458637,0.07254786740517813,0.10967513262479693,0.10957396885548716,"[Index(['Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'lower_band'],
      dtype='object')]"
1,Linear regression,2,60,7.582657553260771e-15,0.11292682278070036,0.11292682278070051,0.12303342767307672,"[Index(['Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'lower_band'],
      dtype='object')]"
2,Lasso REgularization,2,60,2.445804752756315e-15,0.11218134706498102,0.11218134706498102,0.12095424085097282,"[Index(['Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'lower_band'],
      dtype='object')]"
3,Ridge Regularization,2,60,6.628197161941232e-17,0.11264979072859446,0.11264979072859446,0.12192640288410728,"[Index(['Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'lower_band'],
      dtype='object')]"
4,Random Forest Regresssor,2,60,1.0605115459105973e-16,0.10647312043007155,0.10647312043007155,0.11101128552825973,"[Index(['Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'lower_band'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,60,0.13067889041145597,0.14245591895806478,0.1450245607837227,0.15261984473338627,"[Index(['Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'lower_band'],
      dtype='object')]"
6,"SVR, kernel = linear",2,60,0.3831480053554243,0.09505623744527,0.10258744611160162,0.11129720512886669,"[Index(['Adj Close', 'month', '7_rolling_mean', '14_rolling_mean',
       '60_rolling_mean', 'lower_band'],
      dtype='object')]"
0,Naive,5,5,-0.03001197312406437,0.02144156990729496,0.02149095779507451,0.015142474696747963,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
1,Linear regression,5,5,2.5256177721388952e-14,0.02706560253645882,0.027065602536458542,0.021206359131107584,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
2,Lasso REgularization,5,5,2.5528481524314976e-17,0.02149095779507451,0.02149095779507451,0.015142474696747963,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
3,Ridge Regularization,5,5,7.31816470363696e-16,0.025401878467023947,0.025401878467023947,0.01843507852981683,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
4,Random Forest Regresssor,5,5,-0.002437357792997489,0.02718922560879357,0.02721586785605932,0.020873685485583465,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
5,"SVR, kernel = rbf",5,5,0.07335935502914023,0.02286603831575476,0.023032147626392507,0.01685575919559396,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
6,"SVR, kernel = linear",5,5,0.11530926685715022,0.023218540123708973,0.022694513552257305,0.016316051228057727,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
0,Naive,5,15,-0.07865941236560471,0.03587319255351038,0.03601763570472523,0.027740310038796432,"[Index(['High', 'Close', 'Adj Close', 'month', 'H-L', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
1,Linear regression,5,15,-1.0417860884212097e-14,0.0679273479855121,0.06792734798551221,0.05343551627156588,"[Index(['High', 'Close', 'Adj Close', 'month', 'H-L', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
