,Model,Historical data,Forecast,Mean Residual,Test MAPE (Biased),Test MAPE (Unbiased),MAPE zero residuals val,ranking
0,Naive,2,5,-0.0707843256931679,0.013707983823024414,0.01397048621426318,0.014759425959995926,"[Index(['Low', 'Adj Close', 'Volume', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'middle_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
1,Linear regression,2,5,4.6928329051345176e-14,0.0258906129237544,0.02589061292375432,0.030753947372817947,"[Index(['Low', 'Adj Close', 'Volume', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'middle_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
2,Lasso REgularization,2,5,-4.644070168366668e-17,0.01397048621426318,0.01397048621426318,0.014759425959995926,"[Index(['Low', 'Adj Close', 'Volume', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'middle_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
3,Ridge Regularization,2,5,3.483052626275001e-16,0.025884656707049918,0.025884656707049918,0.03066400181057488,"[Index(['Low', 'Adj Close', 'Volume', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'middle_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
4,Random Forest Regresssor,2,5,0.006229125274606689,0.020977332653023352,0.021008020990258263,0.02445928529992036,"[Index(['Low', 'Adj Close', 'Volume', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'middle_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
5,"SVR, kernel = poly",2,5,-0.00046096135846918366,0.03386555670053843,0.033859158998559964,0.0318519441993491,"[Index(['Low', 'Adj Close', 'Volume', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'middle_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
6,"SVR, kernel = rbf",2,5,0.021273276631140807,0.013770723541764314,0.013844431699133188,0.014642503085683649,"[Index(['Low', 'Adj Close', 'Volume', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'middle_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
7,"SVR, kernel = linear",2,5,0.08580422016710786,0.020697886594919564,0.020731499990302972,0.0244071125578732,"[Index(['Low', 'Adj Close', 'Volume', 'month', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'RSI', 'upper_band', 'middle_band',
       'lower_band', 'macd', 'macd_signal', 'macd_hist'],
      dtype='object')]"
0,Naive,2,15,-0.182675594470174,0.0240230205167876,0.025053261742841254,0.027931530284944096,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       'upper_band', 'macd_signal'],
      dtype='object')]"
1,Linear regression,2,15,-4.229986855026684e-15,0.0401736061060935,0.040173606106093544,0.04726572363981829,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       'upper_band', 'macd_signal'],
      dtype='object')]"
2,Lasso REgularization,2,15,-9.50558843826221e-17,0.025053261742841254,0.025053261742841254,0.027931530284944096,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       'upper_band', 'macd_signal'],
      dtype='object')]"
3,Ridge Regularization,2,15,3.50518573660919e-16,0.03711100234073519,0.03711100234073519,0.043644794821125855,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       'upper_band', 'macd_signal'],
      dtype='object')]"
4,Random Forest Regresssor,2,15,0.015118075651553273,0.025515455535541805,0.025462639541931894,0.030210161701846868,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       'upper_band', 'macd_signal'],
      dtype='object')]"
5,"SVR, kernel = poly",2,15,-0.1086761992870672,0.06948280498473378,0.06940506493806899,0.07734976021116036,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       'upper_band', 'macd_signal'],
      dtype='object')]"
6,"SVR, kernel = rbf",2,15,0.10899941106330384,0.02443427406694691,0.025130846640299836,0.028039461242892243,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       'upper_band', 'macd_signal'],
      dtype='object')]"
7,"SVR, kernel = linear",2,15,0.017624432363337827,0.04255863438838901,0.04248680131565068,0.04908358159991763,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       'upper_band', 'macd_signal'],
      dtype='object')]"
0,Naive,2,30,-0.34148787132183983,0.03901114277509392,0.040496191581621085,0.04331277772580611,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       '7_rolling_STD', 'timedelta', 'macd_hist'],
      dtype='object')]"
1,Linear regression,2,30,2.95035045990353e-15,0.04807390287749961,0.04807390287749961,0.05351293908031103,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       '7_rolling_STD', 'timedelta', 'macd_hist'],
      dtype='object')]"
2,Lasso REgularization,2,30,0.0,0.040496191581621085,0.040496191581621085,0.04331277772580611,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       '7_rolling_STD', 'timedelta', 'macd_hist'],
      dtype='object')]"
3,Ridge Regularization,2,30,2.581556652415589e-16,0.044882501733254726,0.044882501733254726,0.04992683058550588,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       '7_rolling_STD', 'timedelta', 'macd_hist'],
      dtype='object')]"
4,Random Forest Regresssor,2,30,-0.0018217995540684595,0.03439287490427032,0.03439276271457175,0.03797813956973422,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       '7_rolling_STD', 'timedelta', 'macd_hist'],
      dtype='object')]"
5,"SVR, kernel = poly",2,30,-0.12742426822847572,0.08312917390013581,0.08136711833908199,0.08891841933931698,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       '7_rolling_STD', 'timedelta', 'macd_hist'],
      dtype='object')]"
6,"SVR, kernel = rbf",2,30,0.004012484889448235,0.04039451073601879,0.040414079908967095,0.043270068921120196,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       '7_rolling_STD', 'timedelta', 'macd_hist'],
      dtype='object')]"
7,"SVR, kernel = linear",2,30,0.01133392069475493,0.051225137799943886,0.05114187523197099,0.05629241342089859,"[Index(['Adj Close', 'month', '30_rolling_mean', '60_rolling_mean',
       '7_rolling_STD', 'timedelta', 'macd_hist'],
      dtype='object')]"
0,Naive,2,60,-0.6880596644842802,0.04466261332948485,0.044737927007504244,0.047107258371051515,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
1,Linear regression,2,60,5.726762347917225e-15,0.028790479411979195,0.028790479411979212,0.032293429044708354,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
2,Lasso REgularization,2,60,-5.96537744574711e-17,0.029514885875885615,0.029514885875885615,0.032839292164062554,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
3,Ridge Regularization,2,60,8.948066168620664e-16,0.030458857209061784,0.030458857209061784,0.03354818127531236,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
4,Random Forest Regresssor,2,60,-1.4582033756270713e-16,0.034025257222111964,0.034025257222111964,0.03764633617220197,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
5,"SVR, kernel = poly",2,60,-0.02007274929961694,0.08180018248727172,0.0816473820592432,0.09135477877883523,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
6,"SVR, kernel = rbf",2,60,0.002005806496342268,0.03495051849233422,0.03495294254945911,0.03904570262263898,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
7,"SVR, kernel = linear",2,60,-0.053182403716441375,0.02971480728913784,0.029550557727475335,0.03319549175833007,"[Index(['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'day_of_week',
       'month', 'end_of_month', 'H-L', 'C-O', '7_rolling_mean',
       '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', '7_rolling_STD', 'timedelta', 'RSI', 'upper_band',
       'middle_band', 'lower_band', 'macd', 'macd_signal', 'macd_hist',
       'stochastic_k', 'stochastic_d'],
      dtype='object')]"
0,Naive,5,5,0.06792814060599504,0.016179597519176244,0.016165020999675175,0.014359925858447746,"[Index(['Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'upper_band', 'lower_band',
       'macd', 'macd_hist'],
      dtype='object')]"
1,Linear regression,5,5,-4.501522242120874e-15,0.01668252859856311,0.01668252859856313,0.014431766451186096,"[Index(['Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'upper_band', 'lower_band',
       'macd', 'macd_hist'],
      dtype='object')]"
2,Lasso REgularization,5,5,-5.105696304862995e-17,0.016165020999675175,0.016165020999675175,0.014359925858447746,"[Index(['Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'upper_band', 'lower_band',
       'macd', 'macd_hist'],
      dtype='object')]"
3,Ridge Regularization,5,5,8.509493841438326e-17,0.016136437691757804,0.016136437691757804,0.01346364448319574,"[Index(['Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'upper_band', 'lower_band',
       'macd', 'macd_hist'],
      dtype='object')]"
4,Random Forest Regresssor,5,5,0.0062593383902968544,0.01621826430228742,0.016218402108112227,0.014478490519409727,"[Index(['Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'upper_band', 'lower_band',
       'macd', 'macd_hist'],
      dtype='object')]"
5,"SVR, kernel = poly",5,5,0.08252091370760854,0.017001726999464305,0.016583838469243748,0.014256986535412509,"[Index(['Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'upper_band', 'lower_band',
       'macd', 'macd_hist'],
      dtype='object')]"
6,"SVR, kernel = rbf",5,5,0.024584926665211244,0.01613724810786067,0.016136812490579796,0.014459075846972357,"[Index(['Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'upper_band', 'lower_band',
       'macd', 'macd_hist'],
      dtype='object')]"
7,"SVR, kernel = linear",5,5,0.0884904028320222,0.016847244261984043,0.0164596768134687,0.01388490043238506,"[Index(['Close', 'month', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', 'upper_band', 'lower_band',
       'macd', 'macd_hist'],
      dtype='object')]"
0,Naive,5,15,0.22565217409732838,0.024659319748342488,0.024857592965437162,0.026691865714090962,"[Index(['month', '21_rolling_mean', '30_rolling_mean', '60_rolling_mean',
       'timedelta', 'upper_band', 'macd_signal', 'macd_hist'],
      dtype='object')]"
1,Linear regression,5,15,6.556215581168074e-15,0.02466722802835272,0.02466722802835271,0.02313278205301143,"[Index(['month', '21_rolling_mean', '30_rolling_mean', '60_rolling_mean',
       'timedelta', 'upper_band', 'macd_signal', 'macd_hist'],
      dtype='object')]"
2,Lasso REgularization,5,15,3.432573602705798e-17,0.024857592965437162,0.024857592965437162,0.026691865714090962,"[Index(['month', '21_rolling_mean', '30_rolling_mean', '60_rolling_mean',
       'timedelta', 'upper_band', 'macd_signal', 'macd_hist'],
      dtype='object')]"
3,Ridge Regularization,5,15,-1.0297720808117394e-16,0.02490589490224051,0.02490589490224051,0.022661624046478594,"[Index(['month', '21_rolling_mean', '30_rolling_mean', '60_rolling_mean',
       'timedelta', 'upper_band', 'macd_signal', 'macd_hist'],
      dtype='object')]"
4,Random Forest Regresssor,5,15,-0.00030991754149900785,0.024107410596440716,0.0241073358338974,0.0252829880052097,"[Index(['month', '21_rolling_mean', '30_rolling_mean', '60_rolling_mean',
       'timedelta', 'upper_band', 'macd_signal', 'macd_hist'],
      dtype='object')]"
5,"SVR, kernel = poly",5,15,-0.015447042654505376,0.02428739556532162,0.02435411462749421,0.02218524050953622,"[Index(['month', '21_rolling_mean', '30_rolling_mean', '60_rolling_mean',
       'timedelta', 'upper_band', 'macd_signal', 'macd_hist'],
      dtype='object')]"
6,"SVR, kernel = rbf",5,15,0.004330659550812469,0.02483467382308052,0.02482495400456958,0.02668672934197714,"[Index(['month', '21_rolling_mean', '30_rolling_mean', '60_rolling_mean',
       'timedelta', 'upper_band', 'macd_signal', 'macd_hist'],
      dtype='object')]"
