,Model,Historical data,Forecast,Mean Residual,Test MAPE (Biased),Test MAPE (Unbiased),MAPE zero residuals val,ranking
0,Naive,2,5,-12.338986864276961,0.01813763648595901,0.018851360718696985,0.017266412910140434,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'middle_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
1,Linear regression,2,5,-3.849296458650764,0.02439770697151357,0.023976820756502367,0.025586653087855776,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'middle_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
2,Lasso REgularization,2,5,2.9722049077546675e-15,0.020618204578934082,0.020618204578934082,0.020360525988589652,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'middle_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
3,Ridge Regularization,2,5,1.4861024538773338e-15,0.02158334332002997,0.02158334332002997,0.022134535882631447,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'middle_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
4,Random Forest Regresssor,2,5,-8.359326303060002e-15,0.02704604011985353,0.02704604011985353,0.027779692567453367,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'middle_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
5,"SVR, kernel = rbf",2,5,13.349142268357122,0.017859227634849432,0.018281439949772094,0.016805433439500667,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'middle_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
6,"SVR, kernel = linear",2,5,12.169707390666767,0.017908798269844844,0.018294283989131657,0.0175441442565665,"[Index(['month', '14_rolling_mean', '21_rolling_mean', '30_rolling_mean',
       '60_rolling_mean', 'RSI', 'upper_band', 'middle_band', 'lower_band',
       'macd', 'macd_signal', 'macd_hist', 'stochastic_k'],
      dtype='object')]"
0,Naive,2,15,-37.576825094063544,0.0332999790423922,0.0364943244809387,0.03233662303967425,"[Index(['Open', 'High', 'Low', 'Close', 'Volume', 'month', 'H-L', 'C-O',
       '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
1,Linear regression,2,15,2.1079592920690277e-12,0.05289066493371271,0.05289066493371294,0.060400474015749474,"[Index(['Open', 'High', 'Low', 'Close', 'Volume', 'month', 'H-L', 'C-O',
       '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
2,Lasso REgularization,2,15,1.0646259050853676e-13,0.05237011824360433,0.05237011824360433,0.06019607305800331,"[Index(['Open', 'High', 'Low', 'Close', 'Volume', 'month', 'H-L', 'C-O',
       '7_rolling_mean', '14_rolling_mean', '21_rolling_mean',
       '30_rolling_mean', '60_rolling_mean', '7_rolling_STD', 'timedelta',
       'RSI', 'upper_band', 'middle_band', 'lower_band', 'macd', 'macd_signal',
       'macd_hist', 'stochastic_k', 'stochastic_d'],
      dtype='object')]"
